site,array,start_date,end_date,deployment_id,camera_failure_details
LU3_32_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_W7_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_45_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_50_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_49_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_Y8_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_48_24,LU3,9/12/2024,9/13/2025,D1,NA
LU2_21_24,LU2,10/2/2024,9/16/2025,D1,NA
LU2_34_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_O25_24,LU2,10/3/2024,9/18/2025,D1,"2025 slate date incorrect, correct date is Sept 18"
LU2_W21_24,LU2,10/3/2024,9/17/2025,D1,"2025 slate date incorrect, correct date is Sept 17"
LU2_36_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_15_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_13_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_5_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_101_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_32_24,LU2,10/3/2024,7/21/2025,D1,NA
LU2_Q24_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_56_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_I15_24,LU2,10/4/2024,9/17/2025,D1,NA
LU2_L20_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_L46_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_110_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_39_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_17_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_155_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_50_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_O16_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_U13_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_44_24,LU2,10/4/2024,NA,D1,"camera stopped in Nov (ACME-2022-108), swapped. Power issues?"
LU2_143_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_18_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_52_24,LU2,10/4/2024,9/16/2025,D1,bumped time forward 5min upon deployment
LU2_123_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_H16_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_27_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_31_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_3_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_J27_24,LU2,10/3/2024,9/18/2025,D1,NA
LU2_E27_24,LU2,10/3/2024,9/17/2025,D1,NA
LU2_G25_24,LU2,10/2/2024,9/18/2025,D1,some photos turned pink. Broken cam is acme-2022-69
LU2_G26_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_106_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_20_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_25_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_40_24,LU2,10/2/2024,9/16/2025,D1,Note new site name with _25 suffix due to repositioning. Slate site name incorrect.
LU2_38_24,LU2,10/2/2024,9/16/2025,D1,NA
LU2_137_24,LU2,10/2/2024,9/16/2025,D1,NA
LU2_47_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_26_24,LU2,10/4/2024,9/16/2025,D1,NA
LU2_H26_24,LU2,10/2/2024,9/18/2025,D1,NA
LU2_29_24,LU2,10/2/2024,9/18/2025,D1,NA
LU2_K26_24,LU2,10/2/2024,9/18/2025,D1,NA
LU2_100_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_30_24,LU2,10/2/2024,9/18/2025,D1,NA
LU2_33_24,LU2,10/2/2024,9/17/2025,D1,NA
LU2_M25_24,LU2,10/2/2024,9/18/2025,D1,NA
LU8_N19_24,LU8,10/1/2024,9/11/2025,D1,NA
LU8_M19_24,LU8,10/1/2024,9/11/2025,D1,NA
LU8_N20_24,LU8,10/1/2024,9/11/2025,D1,NA
LU8_O20_24,LU8,10/1/2024,9/11/2025,D1,NA
LU8_N18_24,LU8,10/1/2024,9/11/2025,D1,NA
LU8_S25_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AC29_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AC28_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AB29_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AC30_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_T25_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_S24_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AE29_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AD29_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AD28_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AD27_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AC24_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AC25_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AC31_24,LU8,9/25/2024,9/10/2025,D1,NA
LU8_AB31_24,LU8,9/25/2024,9/10/2025,D1,NA
