Array,Deploy Date,Deploy Time,Crew,Grid Cell #,Site,Camera Unit #,SD Card #,Lat,Long,GPS Label,Ecosite,Camera Site Description,Topography,Grade (%),Elevation (m),Distance to Trail (m),Camera Direction,Trail Use Rating,Distance to Lure,Comments and Access Notes,Photos taken
LU04,20-Sep-24,NA,SM MB,R-14,LU04-R14-24,HLPXHN10080914,OSM-24-108,55.92705,-111.78384,LU04-R14-24,Conifer,"Boggy and wet. Grasses and lots of shrubs. Tamarac stand, small trees,. Adjacent to boggy opening. ",Flat,0,693,0.2,NE,1,5,Land in boggy opening SW of camera point. Very wet!,Y
LU04,20-Sep-24,14:18,MB SM,V-17,LU04-V17-24,M140,OSM-24-084,55.89145,-111.69994,LU04-V17-24,Conifer,"Mixed forest, solid ground, moss and small plants for groundcover",Flat,0,710,0.2,NE,2,5,Heli. Block NE of camera point,Y
LU04,20-Sep-24,14:46,MB SM,U-15,LU04-U15-24,ACME-2022-07,OSM-24-080,55.91235,-111.72498,LU04-U15-24,Conifer,"Mixed forest, next to well pad + bog, just inside forest from well pad, lab tea understory",Flat,0,708,0.1,E,2,5,"Heli. Land in well pad, cam on border",Y
LU04,22-Sep-24,14:21,MC AB,LU04-M12,LU04-M12-24,ACME M128,OSM-24-104,55.95113,-111.90623,LU04-M12-24,Conifer,Moss,Flat,0,705,1,E,2,4,NA,Y
LU04,22-Sep-24,13:54,AB MC,LU04-O13,LU04-O13-24,HLPXHN10080202,OSM-24-75,55.94499,-111.86098,LU04-O13-24,Conifer,Blueberry,Flat,0,710,1,E,3,5,NA,Y
LU04,22-Sep-24,13:20,MC AB,LU04-P15,LU04-P15-24,ACME-2023-53,ODM-24-129,55.91758,-111.81956,LU04-P15-24,Conifer,NA,Flat,0,689,1,NE,2,2,NA,Y
LU04,19-Sep-24,10:43,MB SM,E-15,LU04-E15-24,ACME-2023,OSM-24-096,55.90503,-112.06311,LU04-E15-24,Conifer,"Conifer stand, mainly blk spruce, some jack pine, moss, lichen and lab tea, but solid ground. Dense forest. Near cutline. Weak trails in area",Flat,0,708,1,N,1,4,"Road site. Drive down road off hwy if safe (kind of muddy but not clay-y), park at old well pad station on corner (completely off the road, Its hunting season so vehicles will want to pass). Walk up linear feature. Bit spongy but easy walking. ",NA
LU04,19-Sep-24,11:41,MB SM,LU04-G17,LU04-G17-24,ACME-2023-23,OSM-24-098,55.88353,-112.02958,LU04-G17-24,Conifer ,"In nice forest w/ tall trees. In conifer patch next to old growth aspen. Breezy, little understory and lovely. Lots of animal sign. ",Flat,0,695,1,W,3,6,Road site. Road is a little sketychy (puddles) but gravel base. Park 'n bushwack,Y
LU04,19-Sep-24,10:56,MC AB,LU04-G13,LU04-G13-24,ACME-2022-117,OSM-24-112,55.94081,-112.03049,LU04-G13-24,Mixed,"In small patch of forest between hwy and powerline, top of small hill/upland area",Flat,0,684,1,NW,3,3,Bushwack from hwy,Y
LU04,19-Sep-24,11:47,AB MC,LU04-G12,LU04-G12-24,ACME M104,OSM-24-116,55.94603,-112.01728,LU04-G12-24,Conifer,Dense lab tea in tiny conifer forest,Flat,0,686,1,W,1,6,"Park on little facility pad and then walk across transmission line, into forest find point. ",Y
LU04,19-Sep-24,10:22,AB MC,LU04-F14,LU04-F14-24,ACME-2022-18,ODM-24-093,55.92842,-112.04711,LU04-F14-24,Conifer ,Open mossy conifer with lots of deadfall,Flat,0,692,1,N,2,6,"Park on well pad, take a lil trail off to side, cross tranmission line, into forest",Y
LU03,19-Sep-24,11:22,AB MC,LU03-102,LU03-102-24,ACME-2023-35,OSM-24-109,55.33079,-110.85664,LU03-102-24,Unknown,Quite open conifer forest with mossy bottom. Right on edge of a large overgrown cutline of sorts.,Flat,0,689,1,NE,3,3.5,"Park at scary military gate, walk to point",Y
LU03,18-Sep-24,11:53,AB MC,LU03-05,LU03-05-24,M122,OSM-22-79,55.3405,-110.86115,LU03-05-24,Lowland,Next to cutblock on small game trail,Flat,0,676,0,NE,2,3,Park on side of road next to giant cutblock. Walk on in. ,Y
LU03,18-Sep-24,NA,MC AB,LU03-103,LU03-103-24,HLPXN10080599,OSM-22-101,55.33155,-110.82492,LU03-103-24,Unknown,Adjacent to seismic line,Flat,0,697,0,SE,3,3,Easy access from road,N
LU03,18-Sep-24,10:19,AB MC,LU03-131,LU03-131-24,HLPXN10081023,OSM-22-36,55.33242,-110.79507,LU03-131-24,Unknown,Ice upland open area within a lab tea area,Flat,0,695,1.5,NE,3,4,Park on road and walk to point,Y
LU03,18-Sep-24,8:46,MC AB,LU03-39,LU03-39-24,ACME-2022-190,OSM-24-059,55.46697,-111.2413,LU03-39-24,Upland,Dense conifer bog. Only available spot,Flat,0,675,1,NW,1,4,"Park at plant facility, bushwack to point. Gaia imagery does not show recent development. ",Y
LU03,18-Sep-24,14:32,MC AB,LU03-18,LU03-18-24,ACME-2024-57,OSM-24-119,55.53701,-111.11601,LU03-18-24,Lowland,"Really open mature conifer forest. Not a lot of game trails, but lots of downfall so hard to tell",Slope,5,652,1,NW,1,7,"Park on highway. Walk in 1km each way, maybe driveable in ",Y
LU03,18-Sep-24,15:30,MC AB,LU03-20,LU03-20-24,ACME-2024-90,OSM-24-126,55.52674,-111.04176,LU03-20-24,Lowland,Next to cutblock facing down trail,Flat,0,679,1,W,2,3,"Park on rd, duck under pipeline",Y
LU03,18-Sep-24,16:04,MC AB,LU03-19,LU03-19-24,ACME-2022-07,OSM-22-42,55.52441,-111.07006,LU03-19-24,Lowland,"Wet bog, not a lot of clear trail action but animals are clearly moving down this line",Flat,0,663,2,NE,1,7,"Drive onto the last well pad, walk down seismic line",Y
LU03,18-Sep-24,11:39,MB SM ,LU03-111,LU03-111-24,ACME-2022-12,OSM-22-19,55.39867,-111.11929,LU03-111-24,Unknown,"conifer stand, solid mossy ground w labrador tea, fairly open",Flat,2,724,0.5,NW,3,5,"Drive down road to old well pad (looks like seismic line on avenza and gaia). Be very careful, road is bad and clay will fill the treads of your tires. Only try if very dry. ",Y
LU03,18-Sep-24,13:50,MB SM ,LU03-AB21,LU03-AB21-24,ACME-2022-41,OSM-22-98,55.35374,-110.92094,LU03-AB21-24,Conifer ,"in spruce stand, moss + labrador tea. Next to seismic line",flat,0,681,0.5,NW,2,7,Park roadside and walk up nice seismic line,Y
LU03,18-Sep-24,14:59,MB,LU03-27,LU03-27-24,HLPXHN10080108,OSM-24-79,55.55134,-110.96258,LU03-27-24,Lowland,"mainly pine and spruce stand, some deciduous. Solid ground with moss and lab tea. Fairly open, good trails in area. ",Flat,0,614,0.2,E,3,5,Easy bushwhack or walk along old clearing until perpendicular to point,Y
LU03,18-Sep-24,NA,MB SM ,LU03-36,LU03-36-24,ACME M119,OSM-24-063,55.44802,-111.22444,LU03-36-24,Upland,"Broadleaf forest, lots of roses and grass. Weak game trail but best we could do",flat,0,701,1,W,1,5,park roadside and bushwhack,Y
LU03,18-Sep-24,9:31,MB SM ,LU03-40,LU03-40-24,ACME M146,OSM-22-95,55.47228,-111.16622,LU03-40-24,Upland,"In small conifer patch surrounded by open shrubby marsh/bog. Some herbaceous plants in understroy. Predominently larches in stand. Very close (200m) to active oil infrastructure, fairly loud. ",flat,0,703,1,NW,2,6,"Park roadside (300m from camera) past the bridge so you are on the correct side of the pipelines. Need to go through a gate- no code, just a button. Gaia imagery doesn't show development/roads",Y
LU03,18-Sep-24,10:22,MB SM ,LU03-41,LU03-41-24,ACME-2023-27,OSM-24-101,55.46191,-111.16662,LU03-41-24,Upland,"Mixed stand in grassy clearing, stand surrounded by clear cuts",flat,0,735,0.2,N,1,4,"Park at well pad. Road isn't on gaia, use google maps/ avenza. Need to hike 600m through clearcuts to site. Consider moving in future years",Y
LU03,17-Sep-24,9:23,MB AB ,LU03-52,LU03-52-24,ACME-2024-88,OSM-24-123,55.56309,-110.89193,LU03-52-24,Upland ,"Lovely open forest. Large mixed wood, pointing down well used trail",flat,0,585,3,N,3,8,"Cenovus - need access card. Park at well pad, walk around outside then to site.",Y
LU03,17-Sep-24,15:14,MB AB ,LU03-15,LU03-15-24,ACME-2022-38,OSM-24-058,55.49429,-110.79481,LU03-15-24,Lowland,"Open lichen meadow w patches of labrador tea, small conifers",flat,0,634,1,E,3,8,Park roadside and walk up seismic line,Y
LU03,17-Sep-24,14:40,AB MB ,LU03-44,LU03-44-24,ACME-2022-13,OSM-24-057,55.50127,-110.84861,LU03-44-24,Upland,"In a clearing in a conifer stand, pointed at lure tree where trail forks",slope,5,622,0.1,NE,2,4,NA,Y
LU03,17-Sep-24,14:10,MB AB ,LU03-17,LU03-17-24,ACME-M111,OSM-24-046,55.51217,-110.85307,LU03-17-24,Lowland,"mossy old seismic line, pointed down decent game trail",flat,0,619,0.5,N-NE,2,6,access via CNRL roads not cenovus,Y
LU03,17-Sep-24,12:47,MB AB ,LU03-147,LU03-147-24,ACME-2024-02,OSM-24-045,55.53861,-110.84389,LU03-147-24,Unknown,"Beside restored area, in conifer forest with little understory. Lots of seismic lines",flat,0,612,0.2,E,3,4,Cenovus- need access card. Bushwhack ,Y
LU03,17-Sep-24,12:10,AB MB ,LU03-51,LU03-51-24,ACME-2023-14,OSM-22-16,55.55735,-110.82727,LU03-51-24,Upland,"Conifer forest, horsetail understory",flat,0,581,1.5,N,2,8,"Park on side of road, try and hit seismic line. Cenovus, need key card. ",Y
LU03,17-Sep-24,11:18,AB MB ,LU03-AH7,LU03-AH7-24,ACME-2022-37,OSM-22-115,55.55022,-110.78812,LU03-AH7-24,Conifer,"Conifer forest, mossy groundcover and labrador tea",flat,0,604,0.1,NW,2,6,"Cenovus, need access cards. Park at well site, walk down nice seismic line",Y
LU03,17-Sep-24,10:46,MB AB ,LU03-126,LU03-126-24,HLPXHN100080928,OSM-24-110,55.55331,-110.77219,LU03-126-24,Unknown,"Slightly upland into dense conifer forest, well defined game trail",flat,0,603,0.5,W,NA,6,"Cenovus, need access cards. Park at well and bushwhack",Y
LU03,17-Sep-24,10:04,AB MB ,LU03-129,LU03-129-24,ACME-2023-12,OSM-24-070,55.5796,-110.82379,LU03-129-24,Unknown,"Conifer forest, lab tea understory. At game trail intersection",flat,0,578,1,NW,3,5,"cenovus, need access cards. Park at well pad, bushwhack",Y
LU03,14-Sep-24,10:03,MB SM ,LU03-28,LU03-28-24,ACME-2024-59,OSM-24-007,55.55166,-110.88823,LU03-28-24,Lowland,"Pine and spruce stand, farily open, moss and lab tea but solid ground. Nearby some paths/quad trails, not visible on gaia imagery",flat,0,605,0.5,NE,3,5,"Park on pull off, walk in through trail system or cut line ",Y 
LU03,14-Sep-24,16:03,MB SM ,LU03-AH14,LU03-AH14-24,ACME-2023-53,OSM-24-014,55.44932,-110.8048,LU03-AH14-24,Conifer,In mixed stand on conifer pointing at aspen. Lots of old seismic lines,flat,0,673,1,NE,1,8,Park roadside and walk up seismic line then bushwhack ,Y
LU03,14-Sep-24,16:43,MB SM ,LU03-38 ,LU03-38-24,ACME-2022-24,OSM-24-001,55.44714,-110.76325,LU03-38-24,Upland,"In a fairly open patch within dense conifer forest, mossy but solid ground. Some herbaceous plants",flat,0,673,1,NW,2,4,"Walk along clearing w/ pond, then cut in to site",Y 
LU03,16-Sep-24,16:07,MB SM ,LU03-13 ,LU03-13-24,ACME-2022-32,OSM-24-056,55.50204,-111.11476,LU03-13-24,Lowland,"In a mixed stand on spruce tree, horsetail groundcover",flat,0,689,0.5,NW,2,6,Wet road so parked and hiked 1km. Can drive further and park by ATV / bike park. Hike through bog,Y 
LU03,14-Sep-24,9:12,MD AB ,LU03-25,LU03-25-24,ACME-2022-08,OSM-24-077,55.54145,-110.90795,LU03-25-24,Lowland,Nice dry ridge in a conifer forest. Heavy trail use along lichen area,ridge,1,606,1.5,E,3,6,If muddy: park on well pad nearby and hike in when dry. Pull off roadside and hike in along cutline,Y 
LU03,14-Sep-24,9:51,AB MD ,LU03-21,LU03-21-24,ACME-2022-50,OSM-24-078,55.52354,-110.91692,LU03-21-24,Lowland,"Open cutline in conifer stand, mossy understory",slope,5,625,0.5,NW,3,5,"Easy drive down site road. Park on wellpad, walk in on cut line",Y 
LU03,14-Sep-24,15:05,MB SM ,LU03-AC10,LU03-AC10-24,ACME-2023-87,OSM-24-002,55.49767,-110.89947,LU03-AC10-24,Conifer ,"Aspen stand with large old trees. Lots of shrubs and understory consisting of roses, grasses, and other herbaceous plants and shrubs. Saw 6 grouse lots of bear sign, and ungulate signs. ",flat ,0,657,1,NW,1,4,Park and bushwhack ,Y 
LU03,14-Sep-24,14:18,MB SM ,LU03-46,LU03-46-24,ACME-M124,OSM-24-003,55.50836,-110.89548,LU03-46-24,Upland,In a nice mixed forest with tall trees. Beside cutline,flat,0,623,0.5,NW,2,5,"Park roadside and walk down cutline (600m). Sketchy development taking place, be mindful in future years. ",Y 
LU03,14-Sep-24,13:13,MD AB ,LU03-10,LU03-10-24,ACME-2023-31,OSM-24-72,55.432,-110.78262,LU03-10-24,Lowland,Open conifer forest,flat,0,640,1,N,2,5,Park and bushwhack ,Y
LU03,14-Sep-24,NA,MD AB ,LU03-AE12,LU03-AE12-24,ACME-M136,OSM-24-51,55.46934,-110.86,LU03-AE12-24,Mixed,In clearing off cutline. Coniferous on edge of aspen stand,flat ,2,671,0.2,W ,2,4,"Park roadside, same site as CL-15. hike up cutline to intersecting cutline. Follow cutline up hill and slightly left. ",Y
LU03,14-Sep-24,17:00,MD AB ,LU03-07,LU03-07-24,ACME-2023-33,OSM-24-47,55.40626,-110.75069,LU03-07-24,Lowland,wonderful blueberry and lichen meadow,slope,5,632,1,NW,3,6,NA,Y
LU03,12-Sep-24,15:23,AB MD ,LU03-14 ,LU03-14-24,ACME-2024-65,OSM-24-16,55.50077,-111.09359,LU03-14-24,Lowland,"along seismic line, primarily coniferous. ",flat,0,688,0.5,N ,2,5.5,"Park on old road across highway, climb over small hill onto obvious seismic line. Hike to intersects of seismic line w/ cam",Y 
LU03,13-Sep-24,8:34,MB SM ,LU03-137,LU03-137-24,ACME-2024-67,OSM-24-044,55.42558,-111.19794,LU03-137-24,Unknown,In a pine stand next to spruce stand on pine stree pointing at intersection of game trails,flat,0,688,1,NW,2,5,park n walk ,Y 
LU03,13-Sep-24,12:58,MB SM ,LU03-M20,LU03-M20-24,ACME-2023-78,OSM-24-037,55.36191,-111.22409,LU03-M20-24,Conifer,"Mossy, solid ground, conifer forest, very little understory Fairly dense stand. ",flat,0,688,1,N,3,4,Park on side of highway and walk in ,Y 
LU03,13-Sep-24,12:09,MB SM ,LU03-L22,LU03-L22-24,ACME-2023-103,OSM-24-038,55.34597,-111.25957,LU03-L22-24,Conifer,"Black spruce, boggy, lots of small shrubs and lab tea. Spongy peat moss, some game trails but not many. Adjacent to large cut line thing",flat,0,661,0.5,N ,2,5,"Walk along very large cutblock/cutline and walk in to camera. Spongy and wet, boots! ",Y 
LU03,13-Sep-24,NA ,MB SM ,LU03-J23,LU03-J23-24,ACME-2022-114,OSM-24-040,55.33335,-111.29207,LU03-J23-24,Conifer,"pine forest, pointing at game trail intersection. Not a lot of understory. ",flat,0,667,1,N,2,5,"park roadside, easy walk ",Y 
LU03,13-Sep-24,12:00,AB ,LU03-U6,LU03-U6-24,ACME-2022-39,OSM-24-026,55.54963,-111.07124,LU03-U6-24,Conifer,"Boggy small conifers, along maybe a trail that something used once",flat,0,637,2,NE,1,6,sucks. Park at truck pullout with porta potties. Hike into bog/forest nonsense. Bring boots! ,Y 
LU03,13-Sep-24,9:32,MB SM ,LU03-L16,LU03-L16-24,ACME-2022-77,OSM-24-042,55.43167,-111.25237,LU03-L16-24,Broadleaf,"In bog on spruce tree, pointing down game trail along old cutline",flat,0,663,1,NE,NA,NA,"Park and bushwhack, bring boots- wet! ",Y 
LU03,13-Sep-24,14:10,MB SM ,LU03-N18,LU03-N18-24,ACME-2024-56,OSM-24-010,55.39662,-111.20204,LU03-N18-24,Conifer,"In pine stand, open with little understory, mossy ground cover. Pointed at intersection of game trails.",flat,0,697,1,NW,2,4,"Park roadside, bushwhack to site. Easy walk. **forgot slate photo**",Y 
LU03,13-Sep-24,10:30,MB SM ,LU03-L15,LU03-L15-24,ACME-2023-82,OSM-24-043,55.43909,-111.2642,LU03-L15-24,Mixed,"Solid ground, jack pine, mossy ground, not much veg or understory. Close to a regenerated stand of aspen. Not many good game trails.",flat,0,689,1,NE,1,4,"Park on road, bushwhack. **no slate photo**",Y 
LU03,13-Sep-24,14:52,MB SM ,LU03-32,LU03-32-24,ACME-2024-58,OSM-24-36,55.40956,-111.20446,LU03-32-24,Upland,"Solid mossy floor, fairly open conifer forest, lots of trails, not much understory",flat,0,715,3,NE,3,5,Drive down small old road and walk in ,Y 
LU03,13-Sep-24,15:41,AB MD ,LU03-W7,LU03-W7-24,ACME-2024-61,OSM-24-030,55.53572,-111.02058,LU03-W7-24,Mixed,"dense deciduous, some evidence of small scale firewood harvest but we went a fair bit past it.",flat,0,685,4,E,1,6,"park on unmarked road on SW side of main road. Road not on gaia, walk a while then turn in. ",Y 
LU03,13-Sep-24,15:00,AB MD ,LU03-45,LU03-45-24,ACME-2022-04,OSM-24-027,55.51741,-110.96526,LU03-45-24,Lowland,lovely mossy undergrowth in a thick conifer forest. On edge of a wet looking area,flat,0,686,0.5,E,2,7,"dry: park on side of road and walk in…. Wet: use pull out at the bridge down the road. Walk on road for 4 poles, in between 4&5 cut into trees and connect to transmission line. Walk to clearing, at clearing cut right to treeline and follow tree line to camera. ",Y 
